Zerabruk,Haile,Hagos,Male,0943233,zerabruk27@gmail.com,ROLE_CAFETERIA,1
Abel,Mulugeta,Haile,Male,094332,abel27@gmail.com,ROLE_CAFETERIA,2
Getachew,Mekuria,Damtew,Male,9929292,getachew27@gmail.com,ROLE_CAFETERIA,3
Soliana,Belay,Zeleke,Female,992929,soliana27@gmail.com,ROLE_CAFETERIA,4
Tadele,Demeke,Kiros,Male,93939,tadele27@gmail.com,ROLE_CAFETERIA,5
Belay,Hagos,Hailu,Male,88383,belay27@gmail.com,ROLE_CAMPUS_POLICE,1
Ashenafi,Gebru,Hagos,Male,8383828,ashenafi27@gmail.com,ROLE_CAMPUS_POLICE,2
Mache,Debesay,Hiluf,Male,88383,mache27@gmail.com,ROLE_CAMPUS_POLICE,3
Girma,Tibebu,Moges,Male,2783883,girma27@gmail.com,ROLE_CAMPUS_POLICE,4
Solomon,Masho,Beyene,Male,399939,solomon27@gmail.com,ROLE_CAMPUS_POLICE,5

